,A_confidence_interval_lower,A_confidence_interval_upper,B_confidence_interval_lower,B_confidence_interval_upper,C_confidence_interval_lower,C_confidence_interval_upper,D_confidence_interval_lower,D_confidence_interval_upper,E_confidence_interval_lower,E_confidence_interval_upper
Wind direction [deg],12.34519850578667,406.4674024635186,-12.360650758788438,379.18536804473354,11.565228443614984,355.61262119260164,21.561204900208878,375.09198830916864,34.860108186668214,413.05261908605905
Wind speed [m/s],-0.9020111091203515,3.482625002496765,-0.9938686174796691,3.478117405848005,-0.9730666881005843,3.7159931230237855,-1.0035847795095263,4.166883081853908,-0.805134264834344,1.9976191133191925
Crosswind Speed [m/s],-0.9217117705346024,2.851598684912631,-1.0015085395892944,2.6727524814309747,-1.0379533485390557,2.964549953227819,-1.150822690343738,3.571841283714797,-0.6631655543878043,1.5401756553979054
Headwind Speed [m/s],-1.8303807876231606,2.1574405614519168,-2.3269942285944856,2.0673819507269577,-2.4731671125175034,1.9473789152660888,-2.476481420347948,1.8753496499356601,-0.9121666707659895,1.3020656606649794
Temperature [deg C],10.162571699891455,25.775635085245863,10.072939396721953,26.057916822987256,10.047710983086484,25.77856225862734,10.130679378469452,25.86204495459441,9.800962823938738,26.90691596394005
Globe Temperature [deg C],5.3595865740619,37.72958951640659,5.870664034856475,37.72820510892382,5.432088653544454,37.742689034410276,6.026132176278367,36.69246119478065,5.592845209592644,36.75947802273058
Wind chill [deg C],9.933828104572864,25.74258546570177,9.856271700416785,26.035569979712463,9.801672980817767,25.744325402367355,9.86025242469654,25.810483226071447,9.719975894086637,26.86806450995376
Relative humidity [%],40.17915374783786,116.19039390967427,38.25876536391537,117.49785822251435,40.02741567417606,115.8982916823316,39.24299423291118,116.64108014057308,37.27682929258736,116.30927171751364
Heat Stress Index [deg C],10.309485763378433,25.489706482178917,10.30305473748949,25.705507459602593,10.147732002515369,25.50877567735529,10.30100772927441,25.54224206862373,9.86194361693494,26.710904867913552
Dew Point [deg C],7.4422230566789205,19.665531385970517,7.446590618836303,19.615121820582107,7.234151083703075,19.68209790578763,7.288422747332411,19.728796331083107,7.542437329737431,19.575138427838326
Psychro Wet Bulb Temperature [deg C],10.105915494865215,20.435522308042696,10.195743884174053,20.395290041512535,9.923171444015528,20.47011877425448,10.05818789758733,20.462183969833852,10.222035678930396,20.591297654402936
Station pressure [mb],1004.0115374998425,1028.324973000965,1004.760524868359,1028.5535300589434,1004.6564444055975,1028.7222136380565,1005.134731803924,1028.3212908314842,1003.9355624283903,1028.3966395918114
Barometric pressure [mb],1003.9722391008122,1028.2846268119504,1004.7220854407783,1028.5108709404813,1004.6215483533155,1028.6822511616401,1005.1014807060476,1028.2762880894252,1003.8980032757818,1028.3575926838141
Altitude [m],-127.14174654556837,75.16759468773316,-128.94816264922156,68.83184600948003,-130.4415617349991,69.76411630250115,-127.0651661748424,65.75877975608734,-127.6596126108127,75.73718836838844
Density Altitude [m],-181.80284209400597,456.4361215770431,-185.65792097306428,456.81947186159414,-192.3521584002011,451.597914261155,-186.74500745770248,451.5671578214858,-187.01895039043305,488.6989503904331
NA Wet Bulb Tempterature [deg C],9.779841483229639,22.183244138741284,9.85825521784276,22.13536352206031,9.589193850276617,22.279278259666796,9.7215877137765,22.109697654048887,9.917474913583796,21.956302864193983
WBGT [deg C],9.381397665071383,25.12724530746496,9.522556459535139,25.121385382144986,9.25233930122482,25.19770111914704,9.458624557198647,24.894972855897556,9.471670976907049,24.89939973016366
TWL [w/m^2],245.44749261397976,357.33837168327375,244.36069539155923,354.54269717709985,247.63552498252915,356.1639899730084,256.60915345522045,353.8999815488216,213.72249287812969,354.5081333844966
"Direction, Mag [deg]",11.875796009627834,405.93438169634953,-12.538348761936362,378.9729206520817,11.045938517856001,355.12140182167514,21.04531239659906,374.6070724053411,35.209865911259385,412.5832654018719
